Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Buol,121324,118773,136435
Parigi Moutong,137826,137239,148349
Tojo Una-Una,-,135946,161143
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,-,151554,175371
SULAWESI SELATAN,109979,109503,120786
Kepulauan Selayar,101880,130370,145052
Bulukumba,102434,108679,116889
Bantaeng,90826,76763,85657
Jeneponto,103839,122396,132433
Takalar,107548,118642,135397
Gowa,94820,112539,124787
Sinjai,93216,86891,100030
Maros,120118,124678,142498
Pangkajene Dan Kepulauan,129274,129434,147492
Barru,110261,123254,139577
Bone,98742,103243,119395
Soppeng,93930,95696,114342
Wajo,120429,124493,144283
Sidenreng Rappang,103429,118183,133607
Pinrang,106588,102545,112136
Enrekang,126266,121514,131884
Luwu,118965,124383,142876
Tana Toraja,98084,93872,107055
Luwu Utara,100686,122179,139105
Luwu Timur,101568,126447,140802
Toraja Utara,-,-,-
Kota Makassar,123809,110556,124414
Kota Parepare,113993,106780,114200
Kota Palopo,133212,118625,129480
SULAWESI TENGGARA,111018,110978,124264
Buton,103621,101627,113307
Muna,125848,122470,144706
Konawe,106527,130131,148565
Kolaka,126152,171555,185193
Konawe Selatan,111307,79597,96530
Bombana,-,131522,153139
Wakatobi,-,112719,121306
Kolaka Utara,-,167128,188472
Buton Utara,-,-,-
Konawe Utara,-,-,-
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,131445,133873,164228
Kota Baubau,126781,135145,157138
GORONTALO,103247,120670,130668
Boalemo,90495,114725,125449
Gorontalo,124042,135988,144806
Pohuwato,92219,122733,137017
Bone Bolango,115962,129606,136503
Gorontalo Utara,-,-,-
Kota Gorontalo,148103,141587,160975
SULAWESI BARAT,-,-,130480
Majene,109374,118161,130648
Polewali Mandar,131282,120067,139724
Mamasa,84849,92667,112763
Mamuju,106434,111600,118318
Mamuju Utara,111637,139955,164668
Mamuju Tengah,-,-,-
MALUKU,131654,161114,173201
Maluku Tenggara Barat,130346,140241,147005
Maluku Tenggara,134160,156160,168437
Maluku Tengah,135474,152999,177467
Buru,128786,162342,171351
Kepulauan Aru,-,153279,156242
Seram Bagian Barat,-,138828,152128
Seram Bagian Timur,-,131483,144372
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,-
Kota Tual,152032,140525,153814
MALUKU UTARA,124713,137010,150812
Halmahera Barat,102652,122948,132678
Halmahera Tengah,134200,152564,165062
Kepulauan Sula,108823,144254,153946
Halmahera Selatan,112730,90832,107067
Halmahera Utara,115116,118380,124885
Halmahera Timur,133489,168541,187298
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,176807,205196,219906
Kota Tidore Kepulauan,107610,122578,144504
PAPUA BARAT,-,-,202340
Fakfak,111168,263285,269836
Kaimana,124248,-,152671
Teluk Wondama,117038,-,216127
Teluk Bintuni,148864,128230,205112
Manokwari,155286,-,155927
Sorong Selatan,156574,-,200039
Sorong,172293,-,224305
Raja Ampat,145804,-,179893
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,145498,323291,387510
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,135558,157074,180201
Merauke,104000,-,132870
Jayawijaya,115139,138616,158458
Jayapura,146041,193218,238401
Nabire,126680,204780,230682
Kepulauan Yapen,161786,-,206696
Biak Numfor,123479,188358,249202
Paniai,115372,172735,195954
Puncak Jaya,141275,341961,377833
Mimika,119571,273549,285661
Boven Digoel,116079,-,148302
Mappi,116767,157091,165530
Asmat,131687,148060,161873
Yahukimo,151536,113049,117038
Pegunungan Bintang,163269,127729,156375
Tolikara,178768,-,108360
Sarmi,194486,131902,161029
Keerom,196091,143320,174969
Waropen,165021,-,252377
Supiori,-,-,151418
Mamberamo Raya,-,-,-
Nduga *,-,-,-
