Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Jombang,9.04,9.15,8.6
Nganjuk,10.7,10.89,10.17
Madiun,10.79,11.04,10.63
Magetan,9.84,9.8,9.32
Ngawi,14.15,14.4,13.81
Bojonegoro,12.21,12.18,11.69
Tuban,15.02,14.91,14.36
Lamongan,12.53,12.42,12.16
Gresik,11.06,10.96,10.32
Bangkalan,19.44,19.35,18.66
Sampang,21.61,21.76,20.83
Pamekasan,13.93,13.85,13.41
Sumenep,18.76,18.7,17.78
Kota Kediri,7.23,7.15,6.51
Kota Blitar,7.37,7.3,6.75
Kota Malang,4.37,4.26,3.91
Kota Probolinggo,6.65,6.48,6.18
Kota Pasuruan,6.37,6.6,6.32
Kota Mojokerto,5.98,5.77,5.57
Kota Madiun,4.76,4.74,4.38
Kota Surabaya,4.72,4.65,3.96
Kota Batu,3.79,3.31,3.06
BANTEN,6.16,6.17,5.84
Pandeglang,9.32,9.27,9.18
Lebak,8.91,8.68,8.44
Tangerang,6.92,6.93,6.55
Serang,4.96,4.85,4.51
Kota Tangerang,5.77,5.89,5.43
Kota Cilegon,3.64,3.98,3.75
Kota Serang,5.94,6.2,5.65
Kota Tangerang Selatan,2.5,2.57,2.36
BALI,4.57,4.25,4
Jembrana,5.3,4.96,4.51
Tabanan,5.18,4.7,4.4
Badung,2.53,2.3,2.23
Gianyar,4.7,4.47,4
Klungkung,6.07,5.61,5.3
Bangli,5.28,5.28,5.06
Karang Asem,6.98,6.56,6.52
Buleleng,6.21,5.85,5.39
Kota Denpasar,2.97,2.68,2.59
NUSA TENGGARA BARAT,13.68,13.85,12.91
Lombok Barat,13.39,13.67,12.65
Lombok Tengah,12.89,12.93,12.07
Lombok Timur,15.14,15.63,14.51
Sumbawa,13.5,13.91,12.87
Dompu,12.4,12.62,11.59
Bima,14.5,14.39,13.88
Sumbawa Barat,13.02,12.95,12.23
Lombok Utara,25.93,25.8,23.96
Kota Mataram,8.63,8.62,8
Kota Bima,8.8,8.67,8.12
NUSA TENGGARA TIMUR,20.05,19.96,19.48
Sumba Barat,27.47,27.17,26.52
Sumba Timur,28.22,28.08,27.04
Kupang,21.7,21.78,21.37
Timor Tengah Selatan,25.45,25.18,24.68
Timor Tengah Utara,21.5,21.85,20.89
Belu,14.84,14.3,13.86
Alor,20.25,19.97,19.87
Lembata,25.18,24.78,24.22
Flores Timur,10.75,11.77,11.25
Sikka,12.61,12.56,11.89
Ende,23,22.86,22.57
Ngada,11.93,12.06,11.87
Manggarai,19.84,19.69,19.01
Rote Ndao,27.45,27.05,25.78
Manggarai Barat,17.15,16.82,16.74
Sumba Tengah,32.51,31.78,30.84
Sumba Barat Daya,27.16,27.48,27.2
Nagekeo,12.05,12.33,12.3
Manggarai Timur,25.35,25.06,24.9
Sabu Raijua,28.73,28.37,28.13
Malaka,15.26,14.42,13.92
Kota Kupang,8.61,8.61,8.24
KALIMANTAN BARAT,6.73,6.71,6.32
Sambas,6.92,7.08,6.53
Bengkayang,6.03,6.28,6
Landak,10.01,9.97,8.98
Pontianak,5.32,5.21,4.83
Sanggau,4.51,4.79,4.67
Ketapang,9.39,9.25,8.5
Sintang,8.57,8.18,8.03
Kapuas Hulu,8.59,8.16,7.4
Sekadau,5.85,5.9,5.66
Melawi,11.44,11.12,10.62
