Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Magelang,2.05,2.05,2.09
Boyolali,2.34,2.15,2.14
Klaten,2.95,3.43,2.14
Sukoharjo,1.54,1.68,1.78
Wonogiri,3.02,3.09,1.76
Karanganyar,1.98,1.98,2.24
Sragen,2.85,2.89,2.38
Grobogan,2.48,2.62,2.55
Blora,2.38,2.35,2.19
Rembang,3.5,2.86,2.76
Pati,2.43,2.07,1.72
Kudus,0.92,1.16,0.92
Jepara,1.12,1.3,0.94
Demak,3.75,3.12,2.75
Semarang,1.45,1.6,1.57
Temanggung,1.73,1.93,1.85
Kendal,3.48,2.21,1.59
Batang,2.29,2.07,1.89
Pekalongan,2.4,2.08,1.49
Pemalang,3.19,3.09,2.51
Tegal,1.78,1.89,1.14
Brebes,4.27,4.25,3.07
Kota Magelang,1.61,1.61,1.48
Kota Surakarta,2.19,1.89,1.33
Kota Salatiga,0.94,1.3,0.77
Kota Semarang,0.89,0.71,0.8
Kota Pekalongan,1.11,1.37,1.09
Kota Tegal,1.72,1.89,0.95
D I YOGYAKARTA,2.37,2.48,2.89
Kulon Progo,3.91,3.79,3.89
Bantul,2.74,3,2.82
Gunung Kidul,2.89,4.05,3.68
Sleman,1.57,1.77,2.23
Kota Yogyakarta,1.29,1.19,1.57
JAWA TIMUR,2.36,2,1.93
Pacitan,3.01,2.59,2.12
Ponorogo,1.94,1.52,1.69
Trenggalek,2.54,2.64,1.88
Tulungagung,1.36,1.31,1.07
Blitar,2.35,1.63,1.57
Kediri,2.18,2.1,1.73
Malang,2.01,1.66,1.33
Lumajang,2.07,1.57,1.73
Jember,2,1.72,1.6
Banyuwangi,1.64,1.3,1.31
Bondowoso,2.47,2.3,2.38
Situbondo,2.66,2.17,2.35
Probolinggo,4.32,4,3.43
Pasuruan,2.19,1.82,1.56
Sidoarjo,0.95,0.81,0.8
Mojokerto,1.57,1.35,1.29
Jombang,1.93,1.95,1.72
Nganjuk,2,1.83,1.99
Madiun,2.2,2.3,1.96
Magetan,2.08,1.44,1.45
Ngawi,2.59,2.34,2.06
Bojonegoro,3.47,2.96,2.6
Tuban,3.41,2.26,2.55
Lamongan,2.81,2.07,1.92
Gresik,1.99,2.65,2.48
Bangkalan,5.39,4,3.58
Sampang,5.32,5.24,4.73
Pamekasan,3.74,3.77,2.26
Sumenep,4.78,2.95,3.16
Kota Kediri,1.26,1.57,0.82
Kota Blitar,1.11,1.31,0.75
Kota Malang,1.17,0.73,0.96
Kota Probolinggo,3.14,3.64,1.22
Kota Pasuruan,1.64,0.99,1.17
Kota Mojokerto,1.15,1.12,0.82
Kota Madiun,0.97,0.71,0.69
Kota Surabaya,1.32,1.07,1
Kota Batu,0.7,0.52,0.65
BANTEN,1.04,1.15,0.95
Pandeglang,1.2,1.51,1.2
Lebak,1.34,1.45,1.18
Tangerang,1.31,1.09,0.78
Serang,0.74,0.61,0.75
Kota Tangerang,1.1,0.85,0.68
Kota Cilegon,0.84,0.37,0.63
Kota Serang,1.06,0.81,0.74
Kota Tangerang Selatan,0.35,0.09,0.14
BALI,0.79,0.62,0.39
Jembrana,0.98,0.78,0.89
Tabanan,1.13,0.71,0.34
Badung,0.39,0.27,0.33
Gianyar,0.89,0.45,0.47
Klungkung,1.11,0.66,0.77
Bangli,1.02,0.61,0.58
Karang Asem,1.21,0.97,0.65
Buleleng,1.06,0.61,0.62
Kota Denpasar,0.2,0.27,0.19
NUSA TENGGARA BARAT,3.74,3.33,3.2
Lombok Barat,3.35,2.99,3.1
Lombok Tengah,3.28,2.68,2.71
Lombok Timur,3.57,3.4,3.25
Sumbawa,4.46,4.38,3.87
Dompu,2.92,2.99,1.95
Bima,4.2,2.49,1.95
Sumbawa Barat,4.66,5.63,3.74
Lombok Utara,9.33,8.07,7.42
Kota Mataram,2.36,2.41,2.09
Kota Bima,2.46,1.7,1.75
NUSA TENGGARA TIMUR,4.04,3.53,3.47
Sumba Barat,6.45,5.22,5.63
Sumba Timur,5.02,7.57,7.02
Kupang,3.78,4.22,3.27
Timor Tengah Selatan,6.38,5.34,4.29
Timor Tengah Utara,4.28,3.16,2.24
Belu,2.73,2.1,2.22
Alor,4.47,2.83,2.33
Lembata,6,4.33,3.34
Flores Timur,1.27,1.55,0.73
Sikka,2.93,1.58,1.57
Ende,3.94,3.78,3.51
Ngada,1.47,1.39,1.75
Manggarai,3.57,3.07,3.55
Rote Ndao,6.81,7.45,5.21
Manggarai Barat,3.22,3.11,2.99
Sumba Tengah,4.92,5.22,5.93
Sumba Barat Daya,4.5,4.56,4.2
Nagekeo,2.64,2.03,1.9
Manggarai Timur,5.02,3.68,3.86
Sabu Raijua,9.78,7.67,5.33
Malaka,-,-,-
Kota Kupang,1.96,1.84,1.38
