Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
Kota Salatiga,20313,20891,15764,16036
Kota Semarang,17115,17549,14908,15238
Kota Pekalongan,17200,18100,12688,13290
Kota Tegal,18695,19386,12305,12801
D I YOGYAKARTA,17699,18141,13404,13747
Kulon Progo,13621,13836,9947,9997
Bantul,18555,19227,15289,15671
Gunung Kidul,16349,16645,6807,6889
Sleman,17736,18353,15366,15762
Kota Yogyakarta,19545,20163,19136,19651
JAWA TIMUR,17226,17820,10292,10638
Pacitan,14211,14910,6062,6400
Ponorogo,13448,14043,9637,10060
Trenggalek,15156,15784,9658,10054
Tulungagung,13942,14457,10627,10969
Blitar,16273,16778,9696,10113
Kediri,16697,17184,10699,11045
Malang,15414,16007,7343,7653
Lumajang,14547,14928,7667,7853
Jember,15127,15789,6429,6704
Banyuwangi,19462,20089,8098,8439
Bondowoso,14943,15511,9684,10033
Situbondo,15854,16421,7873,8169
Probolinggo,17701,18379,7734,8067
Pasuruan,14589,15298,8964,9381
Sidoarjo,20613,21218,14211,14638
Mojokerto,18693,19275,11192,11535
Jombang,16858,17481,9103,9371
Nganjuk,17717,18407,11795,12233
Madiun,16557,17089,9836,10165
Magetan,16070,16667,11711,12140
Ngawi,16106,16559,9892,10166
Bojonegoro,15140,15744,8693,9064
Tuban,16596,17315,7873,8208
Lamongan,17379,17921,8625,8888
Gresik,20346,21071,10670,11004
Bangkalan,13322,14006,7048,7405
Sampang,13707,14300,6552,6820
Pamekasan,13136,13690,6699,7008
Sumenep,14303,14872,5367,5616
Kota Kediri,16339,17010,12437,12925
Kota Blitar,15414,16016,13520,13977
Kota Malang,20943,21473,16612,16844
Kota Probolinggo,12985,13590,12180,12532
Kota Pasuruan,14460,15083,13197,13610
Kota Mojokerto,18637,19161,13534,13874
Kota Madiun,23068,23806,15830,16400
Kota Surabaya,22435,23277,16584,17116
Kota Batu,19180,19912,9629,9970
BANTEN,17503,18032,10497,10785
Pandeglang,14164,14675,6225,6444
Lebak,13305,13711,4286,4429
Tangerang,18029,18483,10701,10886
Serang,15493,16055,9792,10143
Kota Tangerang,19619,20270,14514,14954
Kota Cilegon,21050,21799,7837,8107
Kota Serang,19579,20106,12798,13138
Kota Tangerang Selatan,22464,22860,15051,15249
