Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
Kota Banjar,13814.49,13968.63,14122.78,5768.45,5836.63,5905.61
JAWA TENGAH,12701.16,12961.06,13226.28,8058.47,8393.81,8642.91
Cilacap,12983.08,13184.52,13389.09,5759.68,5878.19,5999.14
Banyumas,12244.08,13832.64,14218.47,5502.95,6275.24,6556.05
Purbalingga,8709.39,10674.95,11236.25,5061.47,6560.16,6999.61
Banjarnegara,8550.42,8609.65,8669.29,5338.27,5544.86,5752.49
Kebumen,9697.64,9814.82,9978.42,6154.92,6519.62,6905.93
Purworejo,9349.65,9554.81,9764.48,7456.59,7758.51,8229.29
Wonosobo,12934.5,12990.55,13046.85,7129.92,7578.63,8032.22
Magelang,10234.01,10727.64,11245.09,5952.47,6756.27,7187.57
Boyolali,14436.54,15106.35,15108.87,9576.9,10174.73,10809.87
Klaten,11683.87,11985.78,12006.78,9025.06,9210.75,9946
Sukoharjo,9941.77,10395.35,10847.54,8414.1,9080.28,9799.2
Wonogiri,10669.92,11158.2,11236.77,6586.43,7006.36,7242.91
Karanganyar,10425.78,10543.45,10662.44,8362.98,8667.87,9351.5
Sragen,13906.92,14026.19,14526.9,9443.41,9721.05,10006.86
Grobogan,13418.11,13466.42,13885.3,5494.26,5898.45,6332.39
Blora,11062.42,12215.12,12390.69,4089.88,4546.46,5054.02
Rembang,12295.77,12660.13,12978.56,5463.49,5649.18,5744.38
Pati,12642.69,12668.15,12693.66,7440.68,7818.12,8255.45
Kudus,11230.78,12617.57,13325.73,6911.94,8106.09,8778.44
Jepara,11967.77,12347.12,12569.24,6148.74,6580.04,7016.62
Demak,12159.45,12381.01,12606.6,6507.89,6829.06,7166.08
Semarang,10217.72,10651.8,11104.32,8680.77,9326.78,10020.88
Temanggung,8659.46,8959.24,9269.39,6002.65,6301.77,6565.53
Kendal,11067.94,11841,12668.06,8098.6,8463.12,9191.01
Batang,10444.87,10625.28,10773.75,5751.71,6502.94,6893.51
Pekalongan,12143.97,12221.48,12456.98,7009.77,7167.11,7327.98
Pemalang,8211.52,10024.5,10104.45,3411.13,3971.93,4624.92
Tegal,11137.02,11562.97,11851.44,3800.81,5404.24,5537.2
Brebes,12179.35,12445.92,12718.31,5368.55,5447.45,5728.49
Kota Magelang,11061.53,11263.36,11468.88,8566.25,9056.7,9575.22
Kota Surakarta,12580.54,12664.34,12919.1,10889.34,11195.49,11510.25
Kota Salatiga,16291.55,16668.42,17293.35,11813.85,12352.56,12915.83
Kota Semarang,13625.12,13629.04,13640.82,10552.2,11140.1,11760.74
Kota Pekalongan,14450.84,14504.53,14666.81,9603.97,9955.55,10319.99
Kota Tegal,15488.94,15726.09,15980.96,8509.66,9489.83,10076.91
