Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Nganjuk,1.14,1.25,1.44
Madiun,1.08,1.32,1.39
Magetan,0.98,0.63,0.61
Ngawi,1.2,1.57,0.89
Bojonegoro,1.29,1.63,1.2
Tuban,1.43,2.15,1.4
Lamongan,0.73,1.2,1.04
Gresik,0.8,1.15,1.27
Bangkalan,1.55,2.68,2.11
Sampang,2.81,2.66,2.27
Pamekasan,1.38,1.71,2.19
Sumenep,1.65,1.89,1.47
Kota Kediri,0.72,0.62,0.6
Kota Blitar,0.6,0.68,0.55
Kota Malang,0.21,0.42,0.23
Kota Probolinggo,0.43,0.89,0.83
Kota Pasuruan,0.37,0.85,0.51
Kota Mojokerto,0.45,0.6,0.4
Kota Madiun,0.41,0.37,0.28
Kota Surabaya,0.45,0.68,0.46
Kota Batu,0.45,0.29,0.52
BANTEN,0.3,0.54,0.55
Pandeglang,0.48,0.51,1.07
Lebak,0.44,0.58,0.47
Tangerang,0.38,0.4,0.31
Serang,0.14,0.47,0.38
Kota Tangerang,0.13,0.25,0.19
Kota Cilegon,0.11,0.54,0.18
Kota Serang,-,-,-
Kota Tangerang Selatan,-,-,-
BALI,0.21,0.25,0.17
Jembrana,0.41,0.19,0.26
Tabanan,0.21,0.2,0.15
Badung,0.17,0.19,0.1
Gianyar,0.14,0.19,0.19
Klungkung,0.23,0.37,0.26
Bangli,0.11,0.14,0.17
Karang Asem,0.25,0.19,0.34
Buleleng,0.27,0.59,0.26
Kota Denpasar,0.06,0.12,0.07
NUSA TENGGARA BARAT,1.16,1.21,1.17
Lombok Barat,1.72,2.35,1.47
Lombok Tengah,1,1.08,1.3
Lombok Timur,1.23,1.53,1.44
Sumbawa,1.45,1.64,3.2
Dompu,0.77,1.36,1.57
Bima,0.6,1.15,1.39
Sumbawa Barat,-,2.74,3.12
Lombok Utara,-,-,-
Kota Mataram,0.74,0.47,0.66
Kota Bima,0.37,0.67,0.33
NUSA TENGGARA TIMUR,1.48,1.72,1.63
Sumba Barat,3.89,3.98,2.71
Sumba Timur,1.71,2.65,1.63
Kupang,2.09,3.1,2.32
Timor Tengah Selatan,1.88,2.39,2.29
Timor Tengah Utara,1.42,2.04,2.29
Belu,1.03,0.65,0.81
Alor,2.65,2.85,1.61
Lembata,3.93,2.29,2.34
Flores Timur,0.34,0.64,0.69
Sikka,0.75,0.94,0.81
Ende,0.52,1.06,1.1
Ngada,0.31,2.49,0.75
Manggarai,0.79,2.12,1.15
Rote Ndao,1.79,2.23,1.35
Manggarai Barat,0.81,1.58,0.95
Sumba Tengah,-,-,-
Sumba Barat Daya,-,-,-
Nagekeo,-,-,-
Manggarai Timur,-,-,-
Sabu Raijua,-,-,-
