Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
Pasuruan,1.79,1.68,1.43
Sidoarjo,0.93,0.76,0.77
Mojokerto,1.34,1.17,1.67
Jombang,1.34,1.29,1.59
Nganjuk,1.96,1.75,1.73
Madiun,1.54,1.56,1.95
Magetan,1.05,1.58,1.69
Ngawi,1.84,2.5,2.49
Bojonegoro,2.47,2.62,2.01
Tuban,2.83,2.48,2.98
Lamongan,2,2.4,2.25
Gresik,2.46,2.36,2.58
Bangkalan,3.89,3.28,3.31
Sampang,4.34,3.71,5.18
Pamekasan,2.81,2.6,3.24
Sumenep,3.72,3.54,2.39
Kota Kediri,1.61,0.91,1.4
Kota Blitar,0.98,0.79,0.89
Kota Malang,0.48,0.61,0.53
Kota Probolinggo,1.04,0.94,1.36
Kota Pasuruan,1.18,1.22,1.46
Kota Mojokerto,0.82,0.67,1.08
Kota Madiun,0.85,0.66,0.56
Kota Surabaya,0.68,0.78,0.78
Kota Batu,0.48,0.35,0.62
BANTEN,1.02,0.79,0.94
Pandeglang,1.39,1.34,1.63
Lebak,1.26,1.35,1.5
Tangerang,0.82,0.63,0.82
Serang,0.58,0.58,0.71
Kota Tangerang,0.58,0.64,0.87
Kota Cilegon,0.32,0.87,0.44
Kota Serang,0.72,0.68,0.97
Kota Tangerang Selatan,0.22,0.2,0.19
BALI,0.7,0.86,0.66
Jembrana,0.68,0.5,0.83
Tabanan,0.78,0.77,0.5
Badung,0.27,0.33,0.17
Gianyar,0.45,0.56,0.56
Klungkung,0.79,1.32,1
Bangli,0.38,0.86,0.77
Karang Asem,0.98,0.92,1.01
Buleleng,0.85,0.85,0.73
Kota Denpasar,0.29,0.23,0.24
NUSA TENGGARA BARAT,2.72,2.92,3.25
Lombok Barat,2.96,3.14,2.91
Lombok Tengah,2.32,2.21,3
Lombok Timur,2.58,2.68,3.36
Sumbawa,2.52,2.9,2.7
Dompu,2.07,2.02,2.4
Bima,2.33,2.66,2.41
Sumbawa Barat,4.25,2.5,2.93
Lombok Utara,7.64,7.28,7.5
Kota Mataram,1.87,1.82,1.53
Kota Bima,1.56,1.2,1.68
NUSA TENGGARA TIMUR,3.04,3.25,4.06
Sumba Barat,4.34,4.51,4.88
Sumba Timur,5.43,4.67,5.35
Kupang,3.28,3.71,5.02
Timor Tengah Selatan,4.49,4.95,6.19
Timor Tengah Utara,2.81,3.18,4.22
Belu,1.9,1.89,2.93
Alor,2.84,2.8,3.59
Lembata,3.83,3.65,5.55
Flores Timur,0.76,1.3,0.92
Sikka,1.85,1.9,2.04
Ende,3.4,3.42,3.32
Ngada,1.36,1.09,2.25
Manggarai,2.96,2.65,4.38
Rote Ndao,5.75,5.34,6.93
Manggarai Barat,3.74,2.64,3.32
Sumba Tengah,6.45,5.84,6.1
Sumba Barat Daya,4.6,3.28,4.75
Nagekeo,2.23,1.48,2.07
Manggarai Timur,3.36,3.3,4.72
Sabu Raijua,4.99,5.14,6.13
Malaka,-,-,1.92
Kota Kupang,1.1,1,1.31
KALIMANTAN BARAT,1.3,1.26,1.29
Sambas,1.58,1.28,1.44
Bengkayang,1.11,1.04,0.94
Landak,2.65,2.43,2.36
Pontianak,0.82,0.77,0.59
Sanggau,0.52,0.55,0.79
Ketapang,1.87,2.29,1.74
Sintang,1.21,1.51,1.15
Kapuas Hulu,1.13,1.72,1.73
Sekadau,0.91,0.65,0.69
Melawi,1.56,2.25,2.4
Kayong Utara,1.22,1.55,0.75
Kubu Raya,0.45,0.52,0.77
Kota Pontianak,0.83,0.77,0.52
Kota Singkawang,0.7,1.1,0.66
KALIMANTAN TENGAH,1.02,0.97,0.89
Kotawaringin Barat,0.61,0.38,0.55
Kotawaringin Timur,0.71,0.58,0.61
Kapuas,1.14,0.85,0.79
Barito Selatan,0.92,0.85,0.69
Barito Utara,0.57,0.68,0.88
Sukamara,0.79,0.53,0.59
Lamandau,0.61,0.67,0.74
Seruyan,1.02,1.16,0.88
Katingan,0.85,1.03,0.97
Pulang Pisau,1.11,0.55,0.63
Gunung Mas,0.83,0.56,1.1
Barito Timur,1.47,1.48,0.83
Murung Raya,0.88,0.59,0.95
Kota Palangka Raya,0.48,0.41,0.51
KALIMANTAN SELATAN,0.61,0.65,0.74
Tanah Laut,0.44,0.52,0.76
Kota Baru,0.85,0.66,0.68
Banjar,0.59,0.48,0.35
Barito Kuala,0.47,0.49,0.99
Tapin,0.34,0.5,0.46
Hulu Sungai Selatan,0.87,0.89,0.61
Hulu Sungai Tengah,0.76,0.61,0.76
Hulu Sungai Utara,0.67,0.77,1.13
Tabalong,0.61,0.71,0.79
Tanah Bumbu,0.77,0.74,0.66
Balangan,0.84,1.14,0.84
Kota Banjarmasin,0.51,0.73,0.65
Kota Banjar Baru,0.34,0.76,0.52
KALIMANTAN TIMUR,1.25,0.79,0.9
Paser,1.21,0.96,1.07
Kutai Barat,1.46,1.55,1.42
Kutai Kartanegara,0.81,0.89,1.12
Kutai Timur,1.35,1.82,1.22
Berau,0.58,0.53,0.89
Penajam Paser Utara,0.91,1.22,1.16
Mahakam Hulu,-,-,1.89
Kota Balikpapan,0.25,0.24,0.22
Kota Samarinda,0.56,0.44,0.65
Kota Bontang,0.79,0.52,0.64
KALIMANTAN UTARA,1.25,0.79,0.79
Malinau,1.97,1.4,0.81
Bulungan,2.17,1.69,1.37
Tana Tidung,0.47,1.79,0.92
Nunukan,1.29,1.34,0.53
Kota Tarakan,1.35,0.62,0.23
SULAWESI UTARA,1.16,1.28,1.34
Bolaang Mongondow,1.06,0.83,1.43
Minahasa,1.2,1.31,1.39
Kepulauan Sangihe,1.56,1.77,1.79
Kepulauan Talaud,1.5,0.95,1.75
Minahasa Selatan,1.85,1.03,1.53
Minahasa Utara,0.72,1.07,1.07
Bolaang Mongondow Utara,1.47,1.31,1.14
Siau Tagulandang Biaro,1.35,2.01,1.17
Minahasa Tenggara,3.14,1.72,3.11
Bolaang Mongondow Selatan,1.74,2.83,2.96
Bolaang Mongondow Timur,0.63,0.7,0.66
Kota Manado,0.67,0.71,0.91
Kota Bitung,0.94,1.03,0.55
Kota Tomohon,1.27,1,1.36
Kota Kotamobagu,0.4,0.57,0.58
SULAWESI TENGAH,2.28,2.11,2.52
Banggai Kepulauan,2.41,2.57,2.95
Banggai,1.3,1.2,1.43
Morowali,2.44,2.53,2.03
Poso,3,2.11,3.01
Donggala,3.26,2.84,3.01
Toli-Toli,2.07,1.92,2.15
Buol,2,2.6,3.02
Parigi Moutong,2.33,2.92,3.24
Tojo Una-Una,3.96,2.4,3.26
Sigi,1.92,2.58,1.98
Banggai Laut,-,-,4.52
Morowali Utara,-,-,3.04
Kota Palu,1.33,0.9,0.97
SULAWESI SELATAN,1.65,1.41,1.69
Kepulauan Selayar,2.32,1.83,2.24
Bulukumba,1.01,1.22,1.22
Bantaeng,1.68,1.92,1.3
Jeneponto,2.42,2.09,3.21
Takalar,1.48,1.2,1.38
Gowa,1.19,1.26,1.56
Sinjai,1.41,1.36,1.67
Maros,2.24,2.06,2.31
Pangkajene Dan Kepulauan,3.15,2.93,3.59
Barru,1.33,1.26,1.55
Bone,1.75,1.28,1.73
Soppeng,0.93,1.16,0.98
Wajo,1.27,1.21,1.18
Sidenreng Rappang,1,1.08,0.66
Pinrang,1.16,1.12,1.66
Enrekang,2.02,1.23,2.11
Luwu,2.25,2.08,2.54
Tana Toraja,1.81,1.59,2.69
Luwu Utara,2.06,2.01,2.83
Luwu Timur,1.37,1.18,1.28
Toraja Utara,3.03,2.92,1.87
Kota Makassar,0.84,0.7,0.6
Kota Parepare,0.83,1.01,0.81
Kota Palopo,1.42,1.18,1.76
SULAWESI TENGGARA,1.83,2.09,2.64
Buton,2.77,1.76,1.85
Muna,2.82,2.21,2.69
Konawe,2.15,2.23,3.32
Kolaka,3.8,2.36,2.55
Konawe Selatan,1.53,1.74,1.62
Bombana,2.15,1.79,2.34
Wakatobi,2.11,1.42,3.69
Kolaka Utara,3.47,2.53,3.04
Buton Utara,3.58,2.44,3.01
Konawe Utara,0.78,0.84,1.39
Kolaka Timur,-,-,2.88
Konawe Kepulauan,-,-,4.67
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,0.77,1.01,0.75
Kota Baubau,1.8,2.09,1.51
GORONTALO,3.22,3.13,3.97
Boalemo,3.31,4.24,4.77
Gorontalo,3.7,3.45,4.55
Pohuwato,4.73,3.37,4.49
Bone Bolango,2.75,2.31,3.66
Gorontalo Utara,3.17,3.12,4.04
Kota Gorontalo,0.87,0.76,0.72
SULAWESI BARAT,1.3,1.94,1.93
Majene,2.28,1.86,2.24
Polewali Mandar,2.86,2.73,2.51
Mamasa,1.98,1.81,1.56
Mamuju,0.82,0.72,0.83
Mamuju Utara,0.56,0.82,0.85
Mamuju Tengah,-,-,0.98
MALUKU,3.52,4.11,3.52
Maluku Tenggara Barat,4.46,4.83,4.27
Maluku Tenggara,4.15,4.53,3.82
Maluku Tengah,4.14,4.57,4.72
Buru,2.72,2.66,2.92
Kepulauan Aru,4.04,3.81,5.42
Seram Bagian Barat,4.46,4.61,4.73
Seram Bagian Timur,3.47,3.52,3.47
Maluku Barat Daya,5.33,4.94,5.77
Buru Selatan,1.48,1.76,2.36
Kota Ambon,0.5,0.51,0.38
Kota Tual,3.42,3.85,2.83
MALUKU UTARA,0.89,1.16,0.7
Halmahera Barat,1.2,1.41,0.75
Halmahera Tengah,1.89,2.5,2.21
Kepulauan Sula,1.29,1.63,1.02
Halmahera Selatan,0.68,0.89,0.54
Halmahera Utara,0.51,0.73,0.42
Halmahera Timur,2.65,1.71,3.06
Pulau Morotai,0.71,0.4,0.47
Pulau Taliabu,-,-,0.65
Kota Ternate,0.08,0.26,0.23
Kota Tidore Kepulauan,0.56,0.55,0.59
PAPUA BARAT,5.89,5.92,6.24
Fakfak,5.42,5.82,5.63
Kaimana,2.41,3.72,2.99
Teluk Wondama,8.72,11.04,12.47
Teluk Bintuni,9.29,12.09,13.19
Manokwari,9.19,5.48,4.84
Sorong Selatan,2.82,4.51,3.24
Sorong,6.7,7.5,7.28
Raja Ampat,3.16,3.95,3.78
Tambrauw,7.7,8.46,7.65
Maybrat,7.26,5.54,7.18
Manokwari Selatan,-,-,10.68
Pegunungan Arfak,-,-,6.12
Kota Sorong,4.3,3.65,2.98
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
