Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
Kota Cilegon,4.42,5.55,4.99
Kota Serang,-,-,-
Kota Tangerang Selatan,-,-,-
BALI,6.85,6.72,7.08
Jembrana,7.04,9.11,10.49
Tabanan,8.59,9.23,7.84
Badung,5,5.25,4.57
Gianyar,7.22,5.09,6.33
Klungkung,7.55,8.15,9.52
Bangli,6.25,6.69,7.87
Karang Asem,6.51,7.67,9.42
Buleleng,10.13,9.2,9.18
Kota Denpasar,2.95,2.16,2.69
NUSA TENGGARA BARAT,25.38,25.92,27.17
Lombok Barat,31.87,31.6,31.24
Lombok Tengah,27.1,26.52,27.98
Lombok Timur,26.83,27.01,27.74
Sumbawa,26.35,28.81,30.99
Dompu,26.49,28,30.68
Bima,22.38,24.93,27.4
Sumbawa Barat,-,27.98,30.5
Lombok Utara,-,-,-
Kota Mataram,9.37,10.03,11.71
Kota Bima,13.43,13.4,13.99
NUSA TENGGARA TIMUR,27.86,28.19,29.34
Sumba Barat,42.04,42.77,45.18
Sumba Timur,40.32,41.15,41.62
Kupang,32.68,33.54,33.84
Timor Tengah Selatan,37.38,37.64,39.93
Timor Tengah Utara,30.65,31.53,32.65
Belu,20.51,20.74,20.09
Alor,29.06,29.87,30.99
Lembata,34.56,35.79,36.97
Flores Timur,15.35,15.86,16.54
Sikka,19.2,19.91,21.69
Ende,20.86,20.09,22.43
Ngada,15.54,15.99,16.78
Manggarai,31.31,31.89,33.87
Rote Ndao,27.45,27.43,27.83
Manggarai Barat,29.13,29.28,30.19
Sumba Tengah,-,-,-
Sumba Barat Daya,-,-,-
Nagekeo,-,-,-
Manggarai Timur,-,-,-
Sabu Raijua,-,-,-
Malaka,-,-,-
Kota Kupang,10.65,8.36,8.71
KALIMANTAN BARAT,13.91,14.24,15.24
Sambas,14.46,15.1,16.77
Bengkayang,15.18,13.63,14.63
Landak,24.68,25.87,27.82
Pontianak,11.45,9.82,10.95
Sanggau,10.93,9.84,10.55
Ketapang,18.35,19.23,20.76
Sintang,16.61,19.09,19.8
Kapuas Hulu,16.06,16.9,17.76
Sekadau,-,11.76,12.57
Melawi,-,20.63,22.05
Kayong Utara,-,-,-
Kubu Raya,-,-,-
Kota Pontianak,6.47,6.84,7.15
Kota Singkawang,9.78,10.33,8.32
KALIMANTAN TENGAH,10.44,10.73,11
Kotawaringin Barat,8.58,8.79,8.88
Kotawaringin Timur,12.02,12.41,13.74
Kapuas,10.61,10.98,10.68
Barito Selatan,12.06,12.15,12.43
Barito Utara,9.62,9.95,9.9
Sukamara,10.42,10.49,11.28
Lamandau,9.33,9.6,10.08
Seruyan,12.85,13.28,13.47
Katingan,11.84,11.91,10.18
Pulang Pisau,10.04,10.41,10.86
Gunung Mas,10.17,10.54,11.41
Barito Timur,13.14,13.54,14.05
Murung Raya,9.87,10.24,11.04
Kota Palangka Raya,6.45,6.63,6.98
KALIMANTAN SELATAN,7.19,7.23,8.32
Tanah Laut,7.97,9.19,9.18
Kota Baru,6.04,8.09,10
Banjar,6.9,5.18,4.82
Barito Kuala,6.85,7.1,9.07
Tapin,7.96,8.12,10.14
Hulu Sungai Selatan,10.62,8.86,10.97
Hulu Sungai Tengah,9.94,9.09,10.39
Hulu Sungai Utara,10.7,11.91,13.38
Tabalong,10.24,10.57,13.04
Tanah Bumbu,6.51,8.26,10.21
Balangan,11.15,11.47,13.65
Kota Banjarmasin,3.2,2.92,3.21
Kota Banjar Baru,4.62,4.53,6.11
KALIMANTAN TIMUR,11.57,10.57,11.41
Paser,15.79,14.74,16.39
Kutai Barat,13.63,13.25,14.81
Kutai Kartanegara,15.07,14.72,14.44
Kutai Timur,16.52,15.08,17.66
Berau,8.41,7.44,9.33
Penajam Paser Utara,16.09,14.96,17.47
Mahakam Hulu,-,-,-
Kota Balikpapan,3.97,3.96,3.69
Kota Samarinda,7.9,5.78,6.05
Kota Bontang,6.81,6.23,7.86
KALIMANTAN UTARA,11.57,10.57,11.41
Malinau,23.88,22.54,24.57
Bulungan,22.19,20.52,22.76
Tana Tidung,-,-,-
Nunukan,21.18,19.13,21.66
Kota Tarakan,9.11,8.33,10.07
SULAWESI UTARA,8.93,9.34,11.54
Bolaang Mongondow,9.79,11.39,13.42
Minahasa,9.25,8.09,10.13
Kepulauan Sangihe,13.25,15.07,17.64
Kepulauan Talaud,14.03,12.94,15.55
Minahasa Selatan,9.12,10.74,13.45
Minahasa Utara,-,7.61,10.29
Bolaang Mongondow Utara,-,-,-
Siau Tagulandang Biaro,-,-,-
Minahasa Tenggara,-,-,-
Bolaang Mongondow Selatan,-,-,-
Bolaang Mongondow Timur,-,-,-
Kota Manado,4.14,5.09,6.73
Kota Bitung,8.83,8.92,11.23
Kota Tomohon,7.53,6.43,8.76
Kota Kotamobagu,-,-,-
SULAWESI TENGAH,21.69,21.8,23.63
Banggai Kepulauan,26.51,25.53,28.08
Banggai,16.72,16.27,18.52
Morowali,25.53,27.49,30.14
Poso,30.4,28.19,29.28
Donggala,22.23,22.4,24.84
Toli-Toli,22.29,21.5,24.05
Buol,26.66,28.58,26.66
Parigi Moutong,23.21,22.66,25.1
Tojo Una-Una,-,29.26,31.63
Sigi,-,-,-
Banggai Laut,-,-,-
Morowali Utara,-,-,-
Kota Palu,8.43,10.78,10.49
SULAWESI SELATAN,14.9,14.98,14.57
Kepulauan Selayar,22.18,22.71,20.82
Bulukumba,14.2,12.08,13.84
Bantaeng,10.22,10.41,12.34
Jeneponto,22.78,23.18,25.06
Takalar,12.99,14.94,14.09
Gowa,16.69,16.9,14.55
Sinjai,13.83,14.15,15.76
Maros,20.63,20.13,20.09
Pangkajene Dan Kepulauan,22.29,22.79,23.82
Barru,11.39,11.69,13.91
Bone,15.66,16.38,18.78
Soppeng,4.6,4.65,5.6
Wajo,9.66,9.95,11.57
Sidenreng Rappang,8.09,8.38,8.19
Pinrang,8.84,9.07,10.7
Enrekang,21.33,21.59,23.18
Luwu,18.59,18.51,20.13
Tana Toraja,18.54,18.87,20.44
Luwu Utara,14.7,14.63,14.48
Luwu Timur,13.12,13.05,11.35
Toraja Utara,-,-,-
Kota Makassar,6.15,6.19,7.22
Kota Parepare,6.87,6.7,7.86
Kota Palopo,11.25,11.36,12.92
SULAWESI TENGGARA,21.89,21.45,23.37
Buton,22.43,23.22,25.2
Muna,25.19,24.77,26.95
Konawe,26.06,23.56,25.59
Kolaka,25.08,25.72,27.82
Konawe Selatan,21.37,18.94,20.51
Bombana,-,20.83,22.6
Wakatobi,-,22.72,24.99
Kolaka Utara,-,26.17,28.09
Buton Utara,-,-,-
Konawe Utara,-,-,-
Kolaka Timur,-,-,-
Konawe Kepulauan,-,-,-
Muna Barat,-,-,-
Buton Tengah,-,-,-
Buton Selatan,-,-,-
Kota Kendari,8.84,10.65,12.51
Kota Baubau,18.8,16.36,18.9
GORONTALO,29,29.05,29.13
Boalemo,32.4,31.47,31.41
Gorontalo,33.5,34.49,34.36
Pohuwato,32.8,31.88,32.06
Bone Bolango,29.2,30.23,30.85
Gorontalo Utara,-,-,-
Kota Gorontalo,10.9,10.06,9.87
SULAWESI BARAT,-,-,20.74
Majene,26.73,27.27,23.5
Polewali Mandar,30.78,30.71,27.65
Mamasa,29.77,30.43,25.92
Mamuju,17.67,15.96,11.96
Mamuju Utara,15.55,14.98,11.04
Mamuju Tengah,-,-,-
MALUKU,32.13,32.28,33.03
Maluku Tenggara Barat,43.3,45.29,46.25
Maluku Tenggara,37.68,36.73,37.84
Maluku Tengah,38.05,37.14,38.21
Buru,31.55,33,33.34
Kepulauan Aru,-,37.58,38.45
Seram Bagian Barat,-,37.78,39.59
Seram Bagian Timur,-,39.98,40.18
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,-
Kota Tual,6.24,6.56,7.43
MALUKU UTARA,12.42,13.23,12.73
Halmahera Barat,12.97,16.85,17.12
Halmahera Tengah,15.51,31.83,31.81
Kepulauan Sula,29.61,16.08,15.14
Halmahera Selatan,14.77,14.09,13.36
Halmahera Utara,10.41,11.32,10.36
Halmahera Timur,22.39,24.48,22.68
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,3.99,4.85,4.54
Kota Tidore Kepulauan,10.68,8.32,8.31
PAPUA BARAT,-,-,41.34
Fakfak,37.43,39.88,41.64
Kaimana,33.15,-,35.52
Teluk Wondama,49.55,-,49.75
Teluk Bintuni,35.17,37.85,36.85
Manokwari,28.95,-,29.46
Sorong Selatan,31.73,-,31.25
Sorong,53.7,-,53.75
Raja Ampat,54.94,-,54.95
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,36.08,38.59,37.62
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,38.69,40.83,41.52
Merauke,28.15,-,32.15
Jayawijaya,46.21,49.82,50.65
Jayapura,28.39,30.88,31.05
Nabire,43.01,45.89,45.71
Kepulauan Yapen,42.62,-,44.52
Biak Numfor,44.87,47.36,47.54
Paniai,49.09,51.72,52.45
Puncak Jaya,50.67,53.21,54.21
Mimika,30.75,33.23,34.05
Boven Digoel,28.76,-,29.64
Mappi,29.97,32.22,33.96
Asmat,31.37,33.7,33.82
Yahukimo,45.74,48.28,49.24
Pegunungan Bintang,47.85,50.33,51.26
Tolikara,45.15,-,46.22
Sarmi,27.88,29.79,31.37
Keerom,26.16,29.71,29.52
Waropen,44.48,-,46.25
Supiori,-,-,53.35
Mamberamo Raya,-,-,-
Nduga *,-,-,-
Lanny Jaya,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Puncak,-,-,-
Dogiyai,-,-,-
Intan Jaya,-,-,-
Deiyai,-,-,-
Kota Jayapura,22.98,24.87,25.69
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
