Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
Bojonegoro,-,14066,14763,-,8045,8313
Tuban,-,14674,15458,-,7129,7454
Lamongan,-,15954,16583,-,7883,8184
Gresik,-,18825,19465,-,9905,10228
Bangkalan,-,11993,12629,-,6469,6610
Sampang,-,12588,13223,-,6185,6303
Pamekasan,-,12237,12653,-,6214,6359
Sumenep,-,12750,13585,-,4718,4933
Kota Kediri,-,14489,15224,-,11406,11797
Kota Blitar,-,13693,14420,-,12570,13025
Kota Malang,-,19295,20005,-,15763,15963
Kota Probolinggo,-,11460,12148,-,11108,11492
Kota Pasuruan,-,12785,13515,-,12056,12402
Kota Mojokerto,-,16650,17339,-,12357,12683
Kota Madiun,-,21166,21870,-,14834,15012
Kota Surabaya,-,20181,20910,-,15154,15527
Kota Batu,-,17691,18470,-,8886,9116
BANTEN,16306,16588,17132,9922,10031,10351
Pandeglang,-,13510,14024,-,5850,6050
Lebak,-,12611,13034,-,3888,4101
Tangerang,-,17235,17625,-,10308,10545
Serang,-,14956,15285,-,9458,9660
Kota Tangerang,-,18322,18931,-,13795,14103
Kota Cilegon,-,19797,20395,-,7594,7853
Kota Serang,-,18514,19049,-,12116,12388
Kota Tangerang Selatan,-,21514,22070,-,14380,14713
BALI,16001,16369,16711,13063,13180,13439
Jembrana,-,13392,13696,-,11205,11378
Tabanan,-,14171,14550,-,13217,13516
Badung,-,19018,19320,-,16879,17103
Gianyar,-,16100,16352,-,13629,13754
Klungkung,-,13952,14328,-,10703,10960
Bangli,-,14543,14802,-,10550,10719
Karangasem,-,13979,14256,-,8604,8780
Buleleng,-,18085,18386,-,12180,12375
Kota Denpasar,-,20942,21307,-,18903,19205
NUSA TENGGARA BARAT,13253,13681,14118,8531,8638,9006
Lombok Barat,-,16515,16880,-,9924,10205
Lombok Tengah,-,13913,14415,-,7245,7542
Lombok Timur,-,11238,11823,-,7883,8279
Sumbawa,-,10529,11135,-,8139,8517
Dompu,-,12424,12980,-,7382,7696
Bima,-,10430,10932,-,7211,7509
Sumbawa Barat,-,14845,15393,-,10505,10843
Lombok Utara,-,12508,12877,-,6058,6285
Kota Mataram,-,18033,18626,-,12557,12951
Kota Bima,-,11641,12191,-,9792,10096
NUSA TENGGARA TIMUR,9916,10179,10492,6827,6985,7171
Sumba Barat,-,8532,8920,-,6892,7132
Sumba Timur,-,11117,11512,-,8979,9224
Kupang,-,10409,10765,-,5380,5529
Timor Tengah Selatan,-,8877,9129,-,5846,5987
Timor Tengah Utara,-,7235,7525,-,5721,5873
Belu,-,7981,8286,-,7124,7256
Alor,-,8637,8988,-,6288,6424
Lembata,-,9720,9914,-,6644,6732
Flores Timur,-,10102,10402,-,7027,7143
Sikka,-,12012,12252,-,6045,6131
Ende,-,9486,9760,-,8511,8650
Ngada,-,10812,11163,-,8451,8635
Manggarai,-,10321,10490,-,5434,5510
Rote Ndao,-,9650,9919,-,4307,4435
Manggarai Barat,-,11147,11437,-,5855,5974
Sumba Tengah,-,8112,8306,-,4875,5019
Sumba Barat Daya,-,6363,6606,-,5952,6107
Nagekeo,-,8119,8217,-,8315,8422
Manggarai Timur,-,7625,7965,-,4942,5062
Sabu Raijua,-,6779,6979,-,4569,4675
Malaka,-,8007,8282,-,4815,4873
Kota Kupang,-,15221,15576,-,12776,12912
KALIMANTAN BARAT,12474,12669,13240,5726,5803,6118
Sambas,-,14142,14530,-,6748,6994
Bengkayang,-,12558,12995,-,4451,4714
Landak,-,9522,9898,-,5326,5496
Mempawah,-,11402,11847,-,5570,5801
Sanggau,-,11994,12451,-,4156,4295
Ketapang,-,11907,12637,-,6345,6690
Sintang,-,12247,12668,-,5674,5836
Kapuas Hulu,-,9900,10144,-,4755,4871
Sekadau,-,10873,11385,-,4158,4324
Melawi,-,12997,13471,-,4026,4143
Kayong Utara,-,10625,10808,-,5249,5324
Kubu Raya,-,13558,13674,-,5221,5276
Kota Pontianak,-,18687,19303,-,13392,13740
Kota Singkawang,-,15892,16412,-,9381,9751
KALIMANTAN TENGAH,14706,15094,15776,7488,7597,7857
Kotawaringin Barat,-,18111,18602,-,11136,11349
Kotawaringin Timur,-,17309,17879,-,8106,8250
Kapuas,-,12283,12927,-,9930,10170
Barito Selatan,-,15157,15476,-,9836,9968
Barito Utara,-,13783,14078,-,6222,6424
Sukamara,-,10717,11240,-,7198,7458
Lamandau,-,14699,15394,-,8711,9126
Seruyan,-,13219,13728,-,6693,7023
Katingan,-,15449,15836,-,5935,6111
Pulang Pisau,-,12955,13550,-,7607,7948
Gunung Mas,-,14558,14881,-,7961,8187
Barito Timur,-,15901,16222,-,8271,8427
Murung Raya,-,15559,15897,-,5729,5885
Kota Palangka Raya,-,17792,18271,-,13203,13432
KALIMANTAN SELATAN,17107,17402,17938,8403,8564,8867
Tanah Laut,-,16444,16767,-,7629,7798
