Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
Banyuwangi,11171,11438,11828
Bondowoso,10007,10086,10429
Situbondo,9106,9178,9692
Probolinggo,10170,10239,10700
Pasuruan,9198,9556,9933
Sidoarjo,13320,13710,14168
Mojokerto,11798,12240,12454
Jombang,10237,10560,10999
Nganjuk,11451,11560,11768
Madiun,10904,11012,11351
Magetan,10988,11288,11539
Ngawi,10810,10899,11187
Bojonegoro,9420,9553,9926
Tuban,9353,9540,10048
Lamongan,10252,10664,11108
Gresik,11961,12375,12845
Bangkalan,8030,8192,8393
Sampang,8096,8352,8569
Pamekasan,7975,8311,8536
Sumenep,7846,8316,8722
Kota Kediri,11070,11550,11976
Kota Blitar,12499,12910,13391
Kota Malang,15732,15939,16158
Kota Probolinggo,10792,11390,11796
Kota Pasuruan,12295,12557,12931
Kota Mojokerto,12449,12804,13155
Kota Madiun,15300,15415,15616
Kota Surabaya,16295,16726,17157
Kota Batu,11772,12057,12466
BANTEN,11469,11659,11994
Pandeglang,8138,8358,8613
Lebak,8308,8372,8634
Tangerang,11863,11914,12179
Serang,10317,10466,10693
Kota Tangerang,13911,14104,14443
Kota Cilegon,12326,12562,12900
Kota Serang,12660,12914,13261
Kota Tangerang Selatan,14972,15291,15672
BALI,13279,13573,13886
Jembrana,11343,11468,11666
Tabanan,13800,13923,14245
Badung,16567,17063,17325
Gianyar,13766,14222,14376
Klungkung,10852,11005,11318
Bangli,10819,10956,11160
Karangasem,9690,9833,10050
Buleleng,12814,12995,13235
Kota Denpasar,19084,19364,19698
NUSA TENGGARA BARAT,9575,9877,10284
Lombok Barat,10924,11048,11367
Lombok Tengah,9079,9319,9796
Lombok Timur,8449,8805,9268
Sumbawa,8070,8584,9028
Dompu,7819,8351,8743
Bima,7585,8006,8354
Sumbawa Barat,10528,11066,11496
Lombok Utara,8155,8637,8888
Kota Mataram,13733,14316,14797
Kota Bima,9930,10458,10825
NUSA TENGGARA TIMUR,7122,7350,7566
Sumba Barat,6914,6997,7275
Sumba Timur,9004,9093,9351
Kupang,7217,7301,7472
Timor Tengah Selatan,6360,6676,6855
Timor Tengah Utara,5930,6164,6357
Belu,7199,7251,7403
Alor,6468,6553,6750
Lembata,7010,7084,7253
Flores Timur,7237,7442,7573
Sikka,7740,7855,7958
Ende,8801,8841,8995
Ngada,8195,8649,8857
Manggarai,7008,7056,7175
Rote Ndao,6110,6320,6484
Manggarai Barat,7149,7269,7426
Sumba Tengah,5907,5946,6093
Sumba Barat Daya,6079,6134,6298
Nagekeo,8054,8119,8219
Manggarai Timur,5396,5643,5809
Sabu Raijua,4923,5120,5245
Malaka,5658,5726,5894
Kota Kupang,12986,13028,13199
KALIMANTAN BARAT,8348,8472,8860
Sambas,9311,9403,9774
Bengkayang,8588,8640,9072
Landak,6737,6931,7183
Mempawah,7270,7358,7779
Sanggau,7729,7828,8126
Ketapang,8430,8475,8988
Sintang,8302,8343,8624
Kapuas Hulu,6691,6883,7074
Sekadau,6820,7001,7326
Melawi,7858,7922,8202
Kayong Utara,7030,7434,7552
Kubu Raya,8145,8430,8532
Kota Pontianak,13838,13904,14322
Kota Singkawang,11006,11122,11514
KALIMANTAN TENGAH,10155,10492,10931
Kotawaringin Barat,12101,12420,12788
Kotawaringin Timur,10922,11249,11556
Kapuas,10287,10421,10738
Barito Selatan,10938,11031,11242
Barito Utara,8774,9067,9357
Sukamara,7792,8177,8482
Lamandau,10049,10455,10996
Seruyan,8331,8658,9110
Katingan,9969,10029,10327
Pulang Pisau,9017,9365,9807
Gunung Mas,10155,10276,10504
Barito Timur,10631,10808,11000
Murung Raya,9742,9872,10164
Kota Palangka Raya,12899,13435,13677
KALIMANTAN SELATAN,11307,11600,12062
Tanah Laut,10862,10925,11209
Kotabaru,10777,11065,11579
Banjar,12311,12366,12571
Barito Kuala,9226,9535,9780
Tapin,11237,11411,11847
Hulu Sungai Selatan,11623,11890,12535
Hulu Sungai Tengah,11527,11635,12138
Hulu Sungai Utara,8668,9100,9567
Tabalong,10620,10977,11227
