Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Probolinggo,373569,384343,402532
Pasuruan,306311,315145,331057
Sidoarjo,394401,414479,437899
Mojokerto,330940,345487,370610
Jombang,337217,353456,374895
Nganjuk,341653,358216,388186
Madiun,294451,306769,327536
Magetan,288246,297874,319909
Ngawi,264706,277539,301158
Bojonegoro,295250,309564,330544
Tuban,294543,308822,328268
Lamongan,321002,335783,360444
Gresik,393447,414261,438704
Bangkalan,334338,349073,369455
Sampang,296268,307606,325825
Pamekasan,292631,302431,317144
Sumenep,301781,313330,340033
Kota Kediri,400096,420712,453807
Kota Blitar,356147,383021,425832
Kota Malang,426527,454061,507114
Kota Probolinggo,418480,437392,479267
Kota Pasuruan,362224,378593,415171
Kota Mojokerto,364021,391489,437231
Kota Madiun,376956,404959,446525
Kota Surabaya,438283,474365,530178
Kota Batu,398401,424354,467073
BANTEN,367949,386753,431069
Pandeglang,267752,285822,310859
Lebak,246389,261880,283901
Tangerang,405902,423486,451325
Serang,256660,269652,294829
Kota Tangerang,496349,508551,556782
Kota Cilegon,347949,373147,428867
Kota Serang,281926,296819,350237
Kota Tangerang Selatan,472968,494784,549150
BALI,338967,361387,382598
Jembrana,354901,374057,385959
Tabanan,392479,412561,422345
Badung,470732,500885,534069
Gianyar,339414,358496,378561
Klungkung,284789,299664,310764
Bangli,305200,321674,327668
Karang Asem,288436,301720,311321
Buleleng,350902,372399,395678
Kota Denpasar,483821,512947,545357
NUSA TENGGARA BARAT,333996,345341,365901
Lombok Barat,375684,390979,412487
Lombok Tengah,357337,369645,386676
Lombok Timur,382861,396668,414721
Sumbawa,296914,300643,320617
Dompu,263458,266483,284188
Bima,282854,288703,308695
Sumbawa Barat,435890,444465,459065
Lombok Utara,387265,398702,416705
Kota Mataram,414115,428754,457950
Kota Bima,293048,299346,323187
NUSA TENGGARA TIMUR,322947,343396,354898
Sumba Barat,290944,315066,326334
Sumba Timur,295684,320199,331295
Kupang,309208,325677,336984
Timor Tengah Selatan,276727,293617,302124
Timor Tengah Utara,316487,335517,343965
Belu,300914,319280,330944
Alor,268450,287878,305853
Lembata,309992,335693,353957
Flores Timur,246851,267317,281757
Sikka,266257,288332,298357
Ende,315095,341219,358986
Ngada,291602,315778,331266
Manggarai,283439,306419,311833
Rote Ndao,279079,283704,287867
Manggarai Barat,282412,304277,313380
Sumba Tengah,250589,271365,280425
Sumba Barat Daya,313705,338742,350906
Nagekeo,292032,316717,323316
Manggarai Timur,276703,299530,313593
Sabu Raijua,332332,354983,368187
Malaka,302584,321052,330899
Kota Kupang,482857,504179,518095
KALIMANTAN BARAT,347880,377219,409287
Sambas,345066,369202,407346
Bengkayang,291430,311815,339891
Landak,300123,320600,351942
Pontianak,292129,318682,337350
Sanggau,265067,283608,312909
Ketapang,366250,391868,432354
Sintang,446381,477604,551704
Kapuas Hulu,369981,384275,430652
Sekadau,269324,288162,313930
Melawi,431660,461462,509138
Kayong Utara,244046,260114,287078
Kubu Raya,329511,359461,377302
Kota Pontianak,427783,439648,483618
Kota Singkawang,387801,410717,464673
KALIMANTAN TENGAH,373484,401537,413529
Kotawaringin Barat,319064,338230,344337
Kotawaringin Timur,353640,381776,393474
Kapuas,266943,283222,291820
Barito Selatan,355341,377932,389405
Barito Utara,420100,446807,450936
Sukamara,418026,427101,442086
Lamandau,380888,409912,411088
Seruyan,387592,415798,428539
Katingan,387848,412113,420418
Pulang Pisau,335165,347878,349978
Gunung Mas,365198,388415,388864
Barito Timur,442068,467091,478510
Murung Raya,402682,421903,442639
Kota Palangka Raya,324082,345417,353853
KALIMANTAN SELATAN,377480,402424,427774
Tanah Laut,400757,425152,447212
Kota Baru,369147,384977,401300
Banjar,360494,381862,400081
Barito Kuala,274571,291285,297199
Tapin,369153,390488,405591
Hulu Sungai Selatan,409235,431296,444455
Hulu Sungai Tengah,322392,341024,354214
Hulu Sungai Utara,385338,407608,420783
Tabalong,406669,430129,446765
Tanah Bumbu,408481,427852,451714
Balangan,348442,368580,382835
Kota Banjarmasin,417174,445428,477210
Kota Banjar Baru,505380,539608,572195
KALIMANTAN TIMUR,511205,548094,574704
Paser,395803,433823,455635
Kutai Barat,447311,485551,517621
Kutai Kartanegara,424717,450581,485435
Kutai Timur,470228,512345,543442
Berau,465161,496385,502564
Penajam Paser Utara,391083,426111,447539
Mahakam Hulu,490563,534502,566944
Kota Balikpapan,498721,530710,545971
Kota Samarinda,566392,594645,616365
Kota Bontang,513205,542985,549830
KALIMANTAN UTARA,513614,552040,586049
Malinau,516247,528287,539742
Bulungan,383642,398397,413294
Tana Tidung,354012,366856,376876
Nunukan,351479,377736,403045
Kota Tarakan,519774,572213,613593
SULAWESI UTARA,317478,333510,344418
Bolaang Mongondow,277338,287751,295834
Minahasa,249736,255535,261388
Kepulauan Sangihe,232736,240321,250475
Kepulauan Talaud,246757,257294,265839
Minahasa Selatan,283561,296600,303738
Minahasa Utara,282494,294308,300764
Bolaang Mongondow Utara,223588,230974,238645
Siau Tagulandang Biaro,264632,276800,284021
Minahasa Tenggara,285791,298736,305919
Bolaang Mongondow Selatan,276229,288862,295875
Bolaang Mongondow Timur,282240,293187,302924
Kota Manado,334732,353018,364820
Kota Bitung,337674,356120,368574
Kota Tomohon,336266,354635,363856
Kota Kotamobagu,274103,289077,298742
SULAWESI TENGAH,375659,391763,413785
Banggai Kepulauan,290742,300753,317475
Banggai,344795,352840,373695
Morowali,379001,381753,402292
Poso,416003,429161,449834
Donggala,281374,291011,308212
Toli-Toli,272499,281882,299052
Buol,304085,314556,332163
Parigi Moutong,354554,366762,388440
Tojo Una-Una,404437,417508,442186
Sigi,283227,299261,316949
Banggai Laut,296716,306611,324734
Morowali Utara,379736,392811,412942
Kota Palu,451437,473555,492085
SULAWESI SELATAN,270601,283461,306545
Kepulauan Selayar,296540,310978,348608
Bulukumba,274318,284108,310753
Bantaeng,223408,234286,260263
Jeneponto,302113,315702,356319
Takalar,286537,299721,335989
Gowa,316428,333002,365503
Sinjai,240245,250551,281301
Maros,336579,348726,376749
Pangkajene Dan Kepulauan,256549,268367,300219
Barru,280316,289371,307904
Bone,260552,272555,309076
Soppeng,220192,225936,253457
Wajo,258821,264376,297121
Sidenreng Rappang,271301,276558,299332
Pinrang,250163,256054,280746
Enrekang,275971,283653,312674
Luwu,271804,281195,305722
Tana Toraja,251452,261573,299570
Luwu Utara,288081,299339,329967
Luwu Timur,277520,289214,315478
Toraja Utara,393478,408827,309806
Kota Makassar,347723,366430,386545
Kota Parepare,281951,292685,308337
Kota Palopo,261056,274319,292602
SULAWESI TENGGARA,277288,285609,303618
Buton,209245,211485,233201
Muna,289049,296383,314928
Konawe,260264,267331,283109
Kolaka,320897,327329,349388
Konawe Selatan,195175,200663,219979
Bombana,266717,270627,288201
Wakatobi,234351,239819,256308
Kolaka Utara,388041,406334,453994
Buton Utara,275544,280974,306437
Konawe Utara,232307,244391,260861
Kolaka Timur,314387,323956,345216
Konawe Kepulauan,263229,271241,294035
Muna Barat,287403,297787,315009
Buton Tengah,215822,220897,231289
Buton Selatan,205287,213869,214859
Kota Kendari,291069,301894,327976
Kota Baubau,291873,297991,311509
GORONTALO,284232,296730,316296
Boalemo,332297,348581,368860
Gorontalo,368863,382722,409179
Pohuwato,238364,247476,263617
Bone Bolango,327354,339614,363982
Gorontalo Utara,238621,251054,267806
Kota Gorontalo,437129,452758,482585
SULAWESI BARAT,286840,302852,319121
Majene,320726,335248,349522
Polewali Mandar,337138,351856,366355
Mamasa,226202,239112,249103
Mamuju,223150,241616,252429
Mamuju Utara,312474,328100,330226
Mamuju Tengah,215769,226559,236699
MALUKU,414302,436865,456457
Maluku Tenggara Barat,319120,339801,398729
Maluku Tenggara,350661,373386,436927
Maluku Tengah,405118,424632,431512
Buru,396313,415403,420083
Kepulauan Aru,337180,352151,412665
Seram Bagian Barat,334729,350853,359085
Seram Bagian Timur,319266,334645,341261
Maluku Barat Daya,352004,374816,441211
Buru Selatan,514124,542036,542747
Kota Ambon,486931,514690,532719
Kota Tual,345670,372731,510231
MALUKU UTARA,376554,390998,412266
Halmahera Barat,293118,302921,316381
Halmahera Tengah,397379,410708,429805
Kepulauan Sula,315133,320854,337543
Halmahera Selatan,266155,273849,290627
Halmahera Utara,208832,215837,228092
Halmahera Timur,494245,509725,510899
Pulau Morotai,229343,236532,249242
Pulau Taliabu,331968,342401,360955
Kota Ternate,489810,514396,537524
Kota Tidore Kepulauan,368796,387307,404721
PAPUA BARAT,474967,499778,516362
Fakfak,446531,473950,498184
Kaimana,342293,363581,386576
Teluk Wondama,456709,488233,508345
Teluk Bintuni,549169,583323,587770
Manokwari,517296,547494,575114
Sorong Selatan,286318,297684,306803
Sorong,316088,329106,339187
Raja Ampat,305019,317416,326050
Tambrauw,291576,308298,329708
Maybrat,300860,319571,335912
Manokwari Selatan,525241,557907,578734
Pegunungan Arfak,552153,586493,589168
Kota Sorong,625071,657148,668533
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,427176,457541,499463
Merauke,310420,342842,345965
Jayawijaya,367804,406219,409846
Jayapura,464519,489932,549489
Nabire,520951,575361,579470
Kepulauan Yapen,536501,592535,600161
Biak Numfor,491278,521782,528498
Paniai,418520,461606,465658
Puncak Jaya,526756,581537,589022
Mimika,634370,684282,762184
Boven Digoel,406678,444813,452723
Mappi,273699,300400,301237
Asmat,316437,349487,354478
Yahukimo,320783,338613,379628
Pegunungan Bintang,431818,455819,511229
Tolikara,228288,252132,371589
Sarmi,399291,421484,472720
Keerom,504460,532499,597230
Waropen,567808,627112,632478
Supiori,388523,429102,434625
Mamberamo Raya,591595,658412,666886
Nduga *,296287,327233,331445
Lanny Jaya,405347,446061,451802
Mamberamo Tengah,336736,370978,375753
Yalimo,286170,316059,320971
Puncak,545506,602481,611369
Dogiyai,427149,471762,477674
Intan Jaya,542007,598436,606138
Deiyai,503898,556281,561857
Kota Jayapura,805746,849496,944479
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
