Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
Majene,0.85,0.95,0.66
Polewali Mandar,1.14,1.23,0.92
Mamasa,1.28,1.42,0.7
Mamuju,0.4,0.64,0.22
Mamuju Utara,0.29,0.29,0.15
Mamuju Tengah,-,-,-
MALUKU,1.84,2.15,2.63
Maluku Tenggara Barat,2.68,2.09,2.66
Maluku Tenggara,3.44,3.35,2.08
Maluku Tengah,2.4,3.02,2.51
Buru,1.69,1.56,1.03
Kepulauan Aru,2.94,2.86,6.55
Seram Bagian Barat,3.36,2.49,2.66
Seram Bagian Timur,2.06,2.93,2.27
Maluku Barat Daya,-,-,-
Buru Selatan,-,-,-
Kota Ambon,-,-,0.21
Kota Tual,0.32,0.15,1.99
MALUKU UTARA,0.64,0.76,1
Halmahera Barat,0.95,1.08,1.07
Halmahera Tengah,1.47,1.63,1.73
Kepulauan Sula,0.5,0.49,0.78
Halmahera Selatan,0.52,0.37,0.39
Halmahera Utara,0.2,0.52,0.42
Halmahera Timur,0.59,4.48,0.73
Pulau Morotai,-,-,-
Pulau Taliabu,-,-,-
Kota Ternate,0.21,0.15,0.18
Kota Tidore Kepulauan,0.25,0.12,0.12
PAPUA BARAT,5.66,4.55,4.28
Fakfak,3.12,2.98,2.3
Kaimana,1.89,3.65,0.94
Teluk Wondama,4.53,5.94,3.41
Teluk Bintuni,2.12,1.65,5.06
Manokwari,2.91,3.71,6.66
Sorong Selatan,1.89,2.31,2
Sorong,5.58,7.32,4.71
Raja Ampat,4.3,4.42,0.48
Tambrauw,-,-,-
Maybrat,-,-,-
Manokwari Selatan,-,-,-
Pegunungan Arfak,-,-,-
Kota Sorong,3.55,4.94,0.86
PAPUA BARAT DAYA,-,-,-
Raja Ampat,-,-,-
Sorong,-,-,-
Sorong Selatan,-,-,-
Maybrat,-,-,-
Tambrauw,-,-,-
Kota Sorong,-,-,-
PAPUA,3.88,4.5,4.89
Merauke,2.81,1.18,0.76
Jayawijaya,5.96,3.04,2.17
Jayapura,2.68,2.19,1.57
Nabire,11.61,4.36,4.51
Kepulauan Yapen,2.25,5.62,3.59
Biak Numfor,3.86,4.43,3.45
Paniai,3,4.53,5.28
Puncak Jaya,-,2.08,2.85
Mimika,3.64,4.06,3.62
Boven Digoel,2.17,4.56,2.42
Mappi,1.76,2.45,2.67
Asmat,1.18,7.38,1.58
Yahukimo,4.94,10.32,1.68
Pegunungan Bintang,-,8.09,8
Tolikara,1.43,1.5,1.13
Sarmi,1.35,1.31,0.74
Keerom,2.19,5.23,2.35
Waropen,1.41,7.28,2.91
Supiori,3.94,1.64,4.69
Mamberamo Raya,-,-,2.3
Nduga *,-,-,0.51
Lanny Jaya,-,-,9.68
Mamberamo Tengah,-,-,6.88
Yalimo,-,-,1.31
Puncak,-,-,9.26
Dogiyai,-,-,2.42
Intan Jaya,-,-,-
Deiyai,-,-,-
Kota Jayapura,1.86,6.13,1.32
PAPUA SELATAN,-,-,-
Merauke,-,-,-
Boven Digoel,-,-,-
Mappi,-,-,-
Asmat,-,-,-
PAPUA TENGAH,-,-,-
Mimika,-,-,-
Dogiyai,-,-,-
Deiyai,-,-,-
Nabire,-,-,-
Paniai,-,-,-
Intan Jaya,-,-,-
Puncak,-,-,-
Puncak Jaya,-,-,-
PAPUA PEGUNUNGAN,-,-,-
Nduga,-,-,-
Jayawijaya,-,-,-
Lanny Jaya,-,-,-
Tolikara,-,-,-
Mamberamo Tengah,-,-,-
Yalimo,-,-,-
Yahukimo,-,-,-
Pegunungan Bintang,-,-,-
